"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx","_2cbZ2 href"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1846099301","","₹ 14,500","2 BHK - 2 Bathroom - 1 sqft","2bhk, 3bhk furnishd, unfurnishd indepndt near sunny enclave owner free","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1846099892","","₹ 12,000","2 BHK - 2 Bathroom - 1 sqft","1bhk,2bhk furnishd indepndt near sunny enclve mata guzri enclve swaraj","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-duplex-1-sq-ft-in-sunny-enclave-kharar-iid-1847861900","","₹ 15,000","3 BHK - 2 Bathroom - 1 sqft","3bhk full duplex kothi unfurnishd indepndt mata gujri enclve sunny enc","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-1-sq-ft-in-sunny-enclave-kharar-iid-1847864807","","₹ 14,000","2 BHK - 2 Bathroom - 1 sqft","2bhk house unfurnishd first and 2nd floor new mata gujri enclve 125 ok","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-houses-villas-1-sq-ft-in-sunny-enclave-kharar-iid-1847865566","","₹ 14,500","3 BHK - 2 Bathroom - 1 sqft","3bhk kothi indepndt mata gujri enclve near sunny enclve 125 owner free","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1000-sq-ft-in-garden-colony-kharar-iid-1845917772","https://apollo.olx.in/v1/files/6j9oy7omm4f-IN/image;s=150x0;q=50;f=webp;","₹ 19,999","2 BHK - 2 Bathroom - 1000 sqft","2 bhk flat for rent","Garden Colony, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1848674452","https://apollo.olx.in/v1/files/qb0ejikebb4o3-IN/image;s=150x0;q=50;f=webp;","₹ 6,000","1 BHK - 1 Bathroom - 1 sqft","1rk rooms indepndt mundi kharar near sunny enclve nijjer highway","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1847866788","https://apollo.olx.in/v1/files/pdmuhvkaixmq1-IN/image;s=150x0;q=50;f=webp;","₹ 6,500","1 BHK - 1 Bathroom - 1 sqft","1rk rooms indepndt mundi kharar sunny enclve owner free","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1848248632","https://apollo.olx.in/v1/files/ubgmcha9zko62-IN/image;s=150x0;q=50;f=webp;","₹ 17,500","2 BHK - 2 Bathroom - 1 sqft","2bhk Ac full furnishd flat kharar city heart saachi home near highway","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sector-118-mohali-iid-1848365275","https://apollo.olx.in/v1/files/0kp9vfefs8wi-IN/image;s=150x0;q=50;f=webp;","₹ 7,500","1 BHK - 1 Bathroom - 1 sqft","1rk rooms 118 sector airport road vr mall back side indepndt owner fre","Sector 118, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-1-sq-ft-in-sunny-enclave-kharar-iid-1847862367","https://apollo.olx.in/v1/files/p617cpw7az4l3-IN/image;s=150x0;q=50;f=webp;","₹ 7,500","1 BHK - 1 Bathroom - 1 sqft","1rk indepndt new rooms mundi kharar sunny enclve near highway markit","Sunny Enclave, Kharar","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-900-sq-ft-in-sector-114-mohali-iid-1845662414","","₹ 20,000","2 BHK - 2 Bathroom - 900 sqft","2bhk ( owner free ) fully furnished new untouched property","Sector 114, Mohali","Today","https://apollo.olx.in/v1/files/y5oetcw8saf4-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sector-114-mohali-iid-1845662592","","₹ 18,000","3 BHK - 3 Bathroom - 1500 sqft","3bhk ( owner free ) for family","Sector 114, Mohali","Today","https://apollo.olx.in/v1/files/ytq0maxv0ouw2-IN/image;s=150x0;q=50;f=webp;"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1500-sq-ft-in-sector-123-mohali-iid-1845662635","https://apollo.olx.in/v1/files/4ly4u30fh1722-IN/image;s=150x0;q=50;f=webp;","₹ 28,000","3 BHK - 2 Bathroom - 1500 sqft","3 bhk ( owner free ) apartment","Sector 123, Mohali","Today",""
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-houses-villas-900-sq-ft-in-sector-114-mohali-iid-1845662711","https://apollo.olx.in/v1/files/z0dkqhv6bwe52-IN/image;s=150x0;q=50;f=webp;","₹ 16,000","2 BHK - 2 Bathroom - 900 sqft","2 bhk for all","Sector 114, Mohali","Today",""
