"_1DNjI href","_3vnjf src","_2Ks63","YBbhy","_2poNJ","_2VQu4","_2jcGx"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1850-sq-ft-in-sector-126-mohali-iid-1839180347","https://apollo.olx.in/v1/files/k3054l2anlda2-IN/image;s=150x0;q=50;f=webp;","₹ 27,000","2 BHK - 2 Bathroom - 1850 sqft","2bhk Dream icon flat available for rent","Sector 126, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-flats-apartments-1850-sq-ft-in-sector-126-mohali-iid-1839179932","https://apollo.olx.in/v1/files/goxrblqutonx2-IN/image;s=150x0;q=50;f=webp;","₹ 47,000","3 BHK - 3 Bathroom - 1850 sqft","3bhk Gilco parkhills fully furnished flat available for rent","Sector 126, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-21-sq-ft-in-sector-126-mohali-iid-1839179703","https://apollo.olx.in/v1/files/hkxb22akoped-IN/image;s=150x0;q=50;f=webp;","₹ 37,999","2 BHK - 2 Bathroom - 21 sqft","2bhk Gilco parkhills flat available for rent","Sector 126, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-builder-floors-800-sq-ft-in-sector-86-mohali-iid-1839179339","https://apollo.olx.in/v1/files/ik9srljg4ipb-IN/image;s=150x0;q=50;f=webp;","₹ 9,000","1 BHK - 1 Bathroom - 800 sqft","1 owner free room available for rent","Sector 86, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1500-sq-ft-in-sector-110-mohali-iid-1848302914","https://apollo.olx.in/v1/files/xw43x36jnh7i2-IN/image;s=150x0;q=50;f=webp;","₹ 23,000","2 BHK - 2 Bathroom - 1500 sqft","2 bhk flat available for rent in Sandwoods opulencia, Mohali","Sector 110, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-1-bhk-apartments-900-sq-ft-in-sector-126-kharar-iid-1846212358","","₹ 13,000","1 BHK - 1 Bathroom - 900 sqft","1 bhk fullyfurnished flat with Ac.","Sector 126, Kharar","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-builder-floors-1800-sq-ft-in-sector-117-mohali-iid-1839161858","https://apollo.olx.in/v1/files/2rxtlv326wqp2-IN/image;s=150x0;q=50;f=webp;","₹ 30,000","3 BHK - 3 Bathroom - 1800 sqft","3bhk Dream homes flat available for rent","Sector 117, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-builder-floors-1500-sq-ft-in-sector-117-mohali-iid-1839161599","https://apollo.olx.in/v1/files/b5muwk0k01ui-IN/image;s=150x0;q=50;f=webp;","₹ 24,000","2 BHK - 2 Bathroom - 1500 sqft","2bhk dream homes flat available for rent","Sector 117, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-2-bhk-apartments-1750-sq-ft-in-sector-117-mohali-iid-1839161377","https://apollo.olx.in/v1/files/souv4z8qbrzt3-IN/image;s=150x0;q=50;f=webp;","₹ 29,000","2 BHK - 2 Bathroom - 1750 sqft","2bhk Wellington height furnished flat available for rent","Sector 117, Mohali","Today"
"https://www.olx.in/item/for-rent-houses-apartments-c1723-3-bhk-apartments-1850-sq-ft-in-sector-91-mohali-iid-1839094648","https://apollo.olx.in/v1/files/2by3wvzyw8rd3-IN/image;s=150x0;q=50;f=webp;","₹ 52,000","3 BHK - 3 Bathroom - 1850 sqft","3bhk Eden court fully furnished flat available for rent","Sector 91, Mohali","Today"
